festival_id,theme_id,festival_place,festival_start_dte,festival_end_date,festival_content,festival_phonenum,festival_site,festival_road_name_addr,festival_lotnum_addr,festival_lat,festival_long
(코로나19로 행사취소)황매산 철쭉제,-,황매산군립공원,2022-05-01,2022-05-15,황매산 철쭉을 즐기는 축제,055-930-4758,http://www.hwangmaesan.kr,경상남도 합천군 가회면 황매산공원길 4,경상남도 합천군 가회면 둔내리 1319,35.48184913,128.0037495
서울장미축제,-,서울장미공원,2022-05-02,2022-05-22,장미개화시기에 맞춰 중랑천 둔치+ 수림대 공원에서의 특설 무대 공연+ 포토존+ 조각전 등 5.15km 장미터널을 활용한 서울대표문화축제,02-3407-6531,https://www.jungnang.go.kr/seoulRose/main.do?menuNo=201121+,서울특별시 중랑구 중랑천로 332,서울특별시 중랑구 묵동 378,37.6148099,127.073526
하동 야생차문화축제,-,하동군 하동 야생차 박물관,2022-05-04,2022-05-08,천 년의 역사를 지닌 우리나라 최초의 차 시배지에서 매년 개최되는 정부지정 명예 문화관광축제이다. 녹음이 우거지는 5월의 야생차축제에서 왕의 녹차의 맛과 향을 느끼며 휴식과 여유의 시간을 즐길 수 있다.,055-880-2051,https://www.hadong.go.kr/02641/02652/02809.web,경상남도 하동군 화개면 화개면 쌍계로 571-25,,,
제92회 춘향제,-,광한루원+요천로 일원,2022-05-04,2022-05-08,춘향제향+ 춘향선발대회+ 춘향국악대전+ 관광지 홍보 및 다양한 공연 등,063-620-5785,http://www.namwon.go.kr/tour/index.do,전라북도 남원시 요천로 1447,전라북도 남원시 천거동 78,35.40413057,127.380504
진주논개제,-,진주성 일원,2022-05-05,2022-05-08,헌다례 및 신위순행+ 의암별제+ 실경역사뮤지컬 의기논개+ 교방행렬+ 진주교방의악가무+ 교방문화 체험행사 등,055-746-5001,http://jjcc.or.kr/,경상남도 진주시 진양호로 476,경상남도 진주시 남성동 3-18,35.19079391,128.0776702
의견문화제,-,오수의견공원,2022-05-05,2022-05-07,반려동물 패션쇼+반려동물 토크쇼+반려동물 참여 및 체험프로그램+반려동물 산업박람회,063-642-5292,,전라북도 임실군 오수면 충효로 2096-16,전라북도 임실군 오수면 오수리 33,35.54520247,127.3326779
부안마실축제,-,부안군 일원(주행사장 : 부안읍 매창공원 일원),2022-05-05,2022-05-31,개막식+ 공연+ 전시+ 온라인 프로그램등 진행,063-580-4777,https://www.buanmasil.com/,전라북도 부안군 부안읍 매창로 89,전라북도 부안군 부안읍 서외리 566,35.71882124,126.7286953
한지문화제,-,원주한지테마파크 및 간현관광지 일원,2022-05-05,2022-05-15,기획전시+ 온라인체험 등,033-734-4739,www.hanjipark.com,강원도 원주시 한지공원길 151,강원도 원주시 무실동 16,37.33437553,127.9353957
어린이날 가족한마당,-,서창운동장,2022-05-05,2022-05-05,(축제취소)공연+ 참여 및 체험부스+ 사생대회 등,055-392-6172,,경상남도 양산시 대운9길 16-85,경상남도 양산시 삼호동 157,35.41161583,129.1822946
영주한국선비문화축제,-,영주시 선비촌 일원,2022-05-05,2022-05-08,소수서원 사액 봉안레 재현+한복맵시대회 등 한국정신문화의 뿌리 선비정신 알림,054-630-8707,http://yeongjufestival.or.kr/,,경상북도 영주시 순흥면 청구리 357,36.92847353,128.5834337
제4회 홍천산나물축제,-,토리숲도시산림공원,2022-05-05,2022-05-08,홍천산나물 홍보관+산나물판매+산나물음식체험+어린이체험부스운영+천원의행복등,033-430-2471,www.hccf.or.kr/,강원도 홍천군 홍천읍 산림공원2길 31,강원도 홍천군 홍천읍 갈마곡리 491,37.689887,127.8952774
제27회 부곡온천축제,-,부곡온천광광특구 일원,2022-05-06,2022-05-08,산신제+온정제+기념식+축하콘서트+힐링둘레길 걷기,,,,경상남도 창녕군 부곡면 거문리 203-1,35.43746252,128.588844
2022년 5월 유성온천문화축제,-,봉명동 온천로+계룡스파텔+갑천변,2022-05-06,2022-05-08,공식행사+대표행사+체험부대행사+전시관람행사+야간행사,042-611-2080,,대전광역시 유성구 계룡로123번길 52,대전광역시 유성구 봉명동 574,,
원도심 5월 소풍,-,칠성로1가 아케이드일원,2022-05-07,2022-05-07,우리동네. 원도심 원도심 소풍 행사,064-727-0617,http://jejuregen.org/,제주특별자치도 제주시 칠성로길 1,,,
제55회 황토현동학농민혁명기념제,-,구민사 및 갑오동학혁명기념탑,2022-05-07,2022-05-08,기념식+공식제례+청소년축전+연계행사+체험행사,063-539-5433,http://www.donghak.or.kr,전라북도 정읍시 덕천면 동학로 742,전라북도 정읍시 덕천면 하학리 산3-5,35.63370584,126.8301188
하동 북천 꽃 양귀비 축제,-,하동군 북천면 직전리 꽃단지 일원,2022-05-13,2022-05-22,동계 경관작물로 꽃양귀비를 전국 최대 면적으로 식재하며 경관보전직불제 사업과 연계하여 농촌경관을 활용하는 농촌 체험 관광형 축제로 시골간이역에 레일바이크를 타고 꽃밭이 가득한 고향역에 대한 향수와 농촌의 낭만을 만끽할 수 있다.,055-884-1235,https://www.hadong.go.kr/02641/02652/02810.web,경상남도 하동군 북천면 경서대로 2446-6,,,
마산아구데이축제,-,오동동문화광장,2022-05-13,2022-05-13,아구가요제+체험프로그램+무료시식회,,,,경상남도 창원시 마산합포구 동성동 177-1,,
울산쇠부리축제,-,달천철장 일원,2022-05-13,2022-05-15,체험+전시+학술,052-293-3500,www.soeburi.org,울산광역시 북구 달천철장길 58,울산광역시 북구 달천동 1-7,35.63421726,129.3289893
아트&플레이 페스타,-,안정리예술인광장,2022-05-14,2022-05-21,공연+전시+체험+플리마켓,031-692-9110,https://www.pccf.or.kr/,경기도 평택시 팽성읍 안정쇼핑로11,경기도 평택시 팽성읍 안정리113-1,36.95955991,127.0439994
자유공원 축제,-,자유공원/한중문화관,2022-05-14,2022-06-12,서예대전 전시 등,032-777-9113,https://blog.naver.com/ijcf_official,인천광역시 중구 제물량로232번길46,인천광역시 중구 송학동1가 11-1,,
2022 양산웅상회야제,-,웅상체육공원,2022-05-14,2022-05-15,(축제취소)개막식+ 폐막식+ 공연+ 시민참여 행사 등,055-392-6183,,경상남도 양산시 배움터길 60-19 웅상체육공원,경상남도 양산시 평산동 283,35.37762612,129.1434299
